Date,Adj Close,Close,High,Low,Open,Volume
2018-01-01,14.0,14.0,14.0,14.0,14.0,0
2018-01-02,15.0,15.0,15.0,15.0,15.0,50
2018-01-03,15.0,15.0,15.0,15.0,15.0,0
2018-01-04,14.0,14.0,15.0,14.0,15.0,10010
2018-01-05,14.0,14.0,15.0,14.0,14.0,410
2018-01-08,14.0,14.0,15.0,14.0,14.0,48009
2018-01-09,14.0,14.0,15.0,14.0,15.0,2250
2018-01-10,14.0,14.0,15.0,14.0,14.0,5899
2018-01-11,15.0,15.0,15.0,14.0,15.0,181
2018-01-12,14.0,14.0,14.0,14.0,14.0,1009
2018-01-15,14.0,14.0,14.0,14.0,14.0,0
2018-01-16,15.0,15.0,15.0,14.0,14.0,1515
2018-01-17,14.0,14.0,15.0,14.0,14.0,8200
2018-01-18,14.0,14.0,14.0,14.0,14.0,18812
2018-01-19,14.0,14.0,14.0,14.0,14.0,500
2018-01-22,14.0,14.0,14.0,14.0,14.0,1951
2018-01-23,14.0,14.0,14.0,13.0,13.0,3372
2018-01-24,14.0,14.0,14.0,13.0,14.0,2107
2018-01-25,13.0,13.0,13.0,13.0,13.0,10
2018-01-26,13.0,13.0,14.0,13.0,13.0,10814
2018-01-29,13.0,13.0,14.0,13.0,13.0,30553
2018-01-30,14.0,14.0,14.0,13.0,14.0,6441
2018-01-31,14.0,14.0,14.0,14.0,14.0,0
2018-02-01,14.0,14.0,14.0,14.0,14.0,120
2018-02-02,14.0,14.0,14.0,14.0,14.0,1290
2018-02-05,14.0,14.0,14.0,14.0,14.0,0
2018-02-06,13.0,13.0,13.0,13.0,13.0,3000
2018-02-07,13.0,13.0,15.0,13.0,14.0,291293
2018-02-08,14.0,14.0,15.0,13.0,13.0,90180
2018-02-09,14.0,14.0,15.0,14.0,15.0,31350
2018-02-12,14.0,14.0,14.0,14.0,14.0,36452
2018-02-13,14.0,14.0,14.0,14.0,14.0,0
2018-02-14,14.0,14.0,14.0,14.0,14.0,0
2018-02-15,14.0,14.0,15.0,13.0,15.0,4595
2018-02-16,14.0,14.0,15.0,14.0,14.0,2355
2018-02-19,14.0,14.0,14.0,13.0,13.0,5645
2018-02-20,14.0,14.0,14.0,14.0,14.0,1510
2018-02-21,14.0,14.0,14.0,14.0,14.0,9000
2018-02-22,14.0,14.0,14.0,14.0,14.0,16000
2018-02-23,13.0,13.0,13.0,13.0,13.0,13500
2018-02-26,14.0,14.0,14.0,14.0,14.0,18
2018-02-27,14.0,14.0,14.0,14.0,14.0,1525
2018-02-28,14.0,14.0,14.0,14.0,14.0,0
2018-03-01,14.0,14.0,14.0,14.0,14.0,0
2018-03-02,14.0,14.0,14.0,13.0,13.0,4510
2018-03-05,14.0,14.0,14.0,14.0,14.0,17355
2018-03-06,14.0,14.0,15.0,14.0,14.0,21136
2018-03-07,13.0,13.0,15.0,13.0,14.0,11001
2018-03-08,13.0,13.0,14.0,13.0,13.0,20
2018-03-09,14.0,14.0,14.0,14.0,14.0,5500
2018-03-12,14.0,14.0,14.0,14.0,14.0,890
2018-03-13,13.0,13.0,14.0,13.0,13.0,15142
2018-03-14,13.0,13.0,13.0,13.0,13.0,1990
2018-03-15,13.0,13.0,14.0,13.0,14.0,113447
2018-03-16,13.0,13.0,14.0,13.0,13.0,1504
2018-03-19,13.0,13.0,14.0,13.0,14.0,669
2018-03-20,13.0,13.0,14.0,13.0,14.0,5000
2018-03-21,13.0,13.0,14.0,13.0,13.0,50811
2018-03-22,13.0,13.0,14.0,13.0,13.0,18644
2018-03-23,13.0,13.0,14.0,13.0,13.0,8952
2018-03-26,13.0,13.0,14.0,13.0,13.0,629
2018-03-27,13.0,13.0,13.0,13.0,13.0,5655
2018-03-28,13.0,13.0,14.0,14.0,14.0,0
2018-03-29,14.0,14.0,14.0,13.0,13.0,1051
2018-03-30,14.0,14.0,14.0,14.0,14.0,0
2018-04-02,13.0,13.0,14.0,13.0,13.0,14600
2018-04-03,14.0,14.0,14.0,13.0,14.0,90
2018-04-04,14.0,14.0,14.0,13.0,13.0,17100
2018-04-05,13.0,13.0,14.0,13.0,13.0,7501
2018-04-06,13.0,13.0,13.0,13.0,13.0,102155
2018-04-09,13.0,13.0,14.0,14.0,14.0,0
2018-04-10,13.0,13.0,14.0,13.0,13.0,31738
2018-04-11,13.0,13.0,14.0,13.0,13.0,479
2018-04-12,13.0,13.0,14.0,13.0,13.0,300
2018-04-13,13.0,13.0,13.0,13.0,13.0,0
2018-04-16,13.0,13.0,14.0,13.0,13.0,35431
2018-04-17,13.0,13.0,14.0,13.0,13.0,31
2018-04-18,13.0,13.0,14.0,13.0,14.0,301
2018-04-19,13.0,13.0,14.0,14.0,14.0,0
2018-04-20,13.0,13.0,13.0,13.0,13.0,0
2018-04-23,13.0,13.0,14.0,13.0,14.0,16452
2018-04-24,13.0,13.0,13.0,12.0,13.0,1625
2018-04-25,13.0,13.0,13.0,13.0,13.0,3500
2018-04-26,13.0,13.0,13.0,13.0,13.0,2650
2018-04-27,13.0,13.0,13.0,12.0,13.0,16110
2018-04-30,13.0,13.0,13.0,13.0,13.0,0
2018-05-01,13.0,13.0,13.0,13.0,13.0,6935
2018-05-02,13.0,13.0,14.0,12.0,12.0,33773
2018-05-03,13.0,13.0,14.0,12.0,13.0,4003
2018-05-04,13.0,13.0,13.0,13.0,13.0,3250
2018-05-07,13.0,13.0,13.0,13.0,13.0,0
2018-05-08,13.0,13.0,13.0,13.0,13.0,8859
2018-05-09,13.0,13.0,13.0,12.0,13.0,14963
2018-05-10,13.0,13.0,13.0,12.0,12.0,157
2018-05-11,13.0,13.0,13.0,13.0,13.0,1810
2018-05-14,13.0,13.0,13.0,13.0,13.0,20604
2018-05-15,13.0,13.0,13.0,12.0,13.0,17306
2018-05-16,13.0,13.0,14.0,12.0,13.0,5253
2018-05-17,13.0,13.0,13.0,13.0,13.0,1740
2018-05-18,13.0,13.0,13.0,13.0,13.0,14242
2018-05-21,13.0,13.0,13.0,12.0,13.0,394916
2018-05-22,12.0,12.0,13.0,12.0,13.0,48270
2018-05-23,12.0,12.0,13.0,12.0,13.0,550
2018-05-24,13.0,13.0,13.0,12.0,12.0,20
2018-05-25,12.0,12.0,13.0,12.0,12.0,325411
2018-05-28,12.0,12.0,13.0,11.0,13.0,38479
2018-05-29,12.0,12.0,12.0,12.0,12.0,0
2018-05-30,12.0,12.0,13.0,12.0,12.0,14304
2018-05-31,11.0,11.0,12.0,11.0,11.0,17180
2018-06-01,12.0,12.0,13.0,11.0,12.0,17076
2018-06-04,12.0,12.0,12.0,12.0,12.0,411
2018-06-05,12.0,12.0,13.0,11.0,12.0,36514
2018-06-06,12.0,12.0,13.0,11.0,13.0,73028
2018-06-07,11.0,11.0,12.0,11.0,12.0,11324
2018-06-08,11.0,11.0,12.0,11.0,11.0,13344
2018-06-11,11.0,11.0,12.0,11.0,12.0,11005
2018-06-12,11.0,11.0,12.0,11.0,11.0,9954
2018-06-13,11.0,11.0,12.0,11.0,12.0,1219
2018-06-14,11.0,11.0,12.0,11.0,12.0,250652
2018-06-15,11.0,11.0,11.0,11.0,11.0,0
2018-06-18,11.0,11.0,12.0,11.0,12.0,754
2018-06-19,11.0,11.0,12.0,10.0,12.0,10770
2018-06-20,10.0,10.0,11.0,10.0,11.0,8132
2018-06-21,11.0,11.0,11.0,10.0,11.0,26137
2018-06-22,11.0,11.0,11.0,10.0,10.0,50496
2018-06-25,10.0,10.0,11.0,10.0,11.0,7441
2018-06-26,10.0,10.0,11.0,10.0,11.0,410
2018-06-27,10.0,10.0,10.0,10.0,10.0,0
2018-06-28,10.0,10.0,10.0,10.0,10.0,0
2018-06-29,11.0,11.0,11.0,11.0,11.0,301
2018-07-02,10.0,10.0,11.0,10.0,10.0,403
2018-07-03,10.0,10.0,11.0,10.0,11.0,10802
2018-07-04,11.0,11.0,11.0,10.0,10.0,22552
2018-07-05,11.0,11.0,11.0,11.0,11.0,1732
2018-07-06,11.0,11.0,11.0,10.0,10.0,716
2018-07-09,10.0,10.0,11.0,10.0,11.0,14702
2018-07-10,10.0,10.0,11.0,10.0,11.0,45801
2018-07-11,10.0,10.0,11.0,11.0,11.0,0
2018-07-12,11.0,11.0,11.0,11.0,11.0,5053
2018-07-13,11.0,11.0,11.0,11.0,11.0,3655
2018-07-16,10.0,10.0,11.0,10.0,11.0,22738
2018-07-17,11.0,11.0,11.0,11.0,11.0,24193
2018-07-18,11.0,11.0,11.0,10.0,11.0,1530
2018-07-19,11.0,11.0,11.0,11.0,11.0,7160
2018-07-20,11.0,11.0,11.0,10.0,11.0,301
2018-07-23,11.0,11.0,11.0,10.0,10.0,10852
2018-07-24,10.0,10.0,11.0,10.0,11.0,1890
2018-07-25,11.0,11.0,11.0,11.0,11.0,720
2018-07-26,11.0,11.0,11.0,11.0,11.0,369
2018-07-27,11.0,11.0,11.0,11.0,11.0,0
2018-07-30,11.0,11.0,11.0,10.0,11.0,1012
2018-07-31,11.0,11.0,11.0,10.0,10.0,470
2018-08-01,10.0,10.0,11.0,10.0,10.0,135666
2018-08-02,10.0,10.0,11.0,10.0,11.0,108708
2018-08-03,10.0,10.0,10.0,10.0,10.0,4283
2018-08-06,10.0,10.0,10.0,10.0,10.0,6622
2018-08-07,10.0,10.0,10.0,10.0,10.0,17
2018-08-08,10.0,10.0,11.0,9.0,10.0,192555
2018-08-09,10.0,10.0,11.0,10.0,10.0,802
2018-08-10,10.0,10.0,11.0,10.0,11.0,39720
2018-08-13,10.0,10.0,11.0,10.0,11.0,42140
2018-08-14,10.0,10.0,11.0,10.0,11.0,14305
2018-08-15,9.0,9.0,10.0,9.0,10.0,3172
2018-08-16,10.0,10.0,10.0,10.0,10.0,39
2018-08-17,9.0,9.0,10.0,9.0,10.0,27541
2018-08-20,9.0,9.0,10.0,9.0,10.0,4010
2018-08-21,9.0,9.0,10.0,9.0,9.0,25317
2018-08-22,9.0,9.0,9.0,9.0,9.0,0
2018-08-23,9.0,9.0,10.0,9.0,9.0,1607
2018-08-24,9.0,9.0,10.0,9.0,10.0,676
2018-08-27,9.0,9.0,10.0,9.0,10.0,123721
2018-08-28,10.0,10.0,11.0,9.0,9.0,307196
2018-08-29,11.0,11.0,11.0,10.0,10.0,57077
2018-08-30,10.0,10.0,11.0,10.0,10.0,38153
2018-08-31,10.0,10.0,11.0,9.0,11.0,74764
2018-09-03,10.0,10.0,11.0,10.0,11.0,1003
2018-09-04,10.0,10.0,11.0,10.0,11.0,52
2018-09-05,10.0,10.0,11.0,10.0,10.0,14574
2018-09-06,10.0,10.0,11.0,10.0,11.0,134701
2018-09-07,10.0,10.0,11.0,10.0,11.0,131802
2018-09-10,10.0,10.0,11.0,10.0,10.0,97142
2018-09-11,10.0,10.0,11.0,10.0,10.0,1078
2018-09-12,10.0,10.0,11.0,10.0,11.0,42421
2018-09-13,10.0,10.0,10.0,9.0,10.0,181
2018-09-14,10.0,10.0,11.0,10.0,10.0,283639
2018-09-17,11.0,11.0,11.0,10.0,11.0,512
2018-09-18,10.0,10.0,11.0,10.0,11.0,575793
2018-09-19,10.0,10.0,11.0,10.0,11.0,10502
2018-09-20,10.0,10.0,11.0,10.0,11.0,53
2018-09-21,10.0,10.0,11.0,10.0,10.0,122
2018-09-24,10.0,10.0,10.0,10.0,10.0,0
2018-09-25,10.0,10.0,10.0,10.0,10.0,301
2018-09-26,10.0,10.0,10.0,10.0,10.0,12525
2018-09-27,10.0,10.0,11.0,10.0,10.0,55196
2018-09-28,10.0,10.0,11.0,10.0,11.0,52
2018-10-01,9.0,9.0,11.0,9.0,11.0,5143
2018-10-02,10.0,10.0,11.0,9.0,10.0,65091
2018-10-03,10.0,10.0,11.0,10.0,10.0,2846
2018-10-04,10.0,10.0,11.0,10.0,11.0,11402
2018-10-05,10.0,10.0,11.0,10.0,11.0,48121
2018-10-08,10.0,10.0,11.0,10.0,11.0,1185
2018-10-09,10.0,10.0,11.0,10.0,11.0,14948
2018-10-10,10.0,10.0,11.0,10.0,11.0,2301
2018-10-11,10.0,10.0,11.0,10.0,11.0,9849
2018-10-12,10.0,10.0,11.0,10.0,10.0,10126
2018-10-15,10.0,10.0,11.0,10.0,11.0,5557
2018-10-16,10.0,10.0,11.0,10.0,10.0,6581
2018-10-17,10.0,10.0,11.0,10.0,11.0,10136
2018-10-18,10.0,10.0,11.0,10.0,10.0,62386
2018-10-19,10.0,10.0,11.0,10.0,11.0,275
2018-10-22,10.0,10.0,11.0,9.0,9.0,41872
2018-10-23,10.0,10.0,11.0,10.0,10.0,3098
2018-10-24,10.0,10.0,10.0,10.0,10.0,0
2018-10-25,10.0,10.0,11.0,10.0,11.0,4786
2018-10-26,10.0,10.0,11.0,10.0,11.0,36346
2018-10-29,11.0,11.0,12.0,11.0,11.0,109623
2018-10-30,10.0,10.0,12.0,10.0,11.0,56369
2018-10-31,10.0,10.0,11.0,10.0,11.0,5002
2018-11-01,10.0,10.0,11.0,10.0,11.0,3915
2018-11-02,11.0,11.0,11.0,10.0,10.0,14704
2018-11-05,11.0,11.0,11.0,11.0,11.0,1176
2018-11-06,11.0,11.0,11.0,11.0,11.0,0
2018-11-07,10.0,10.0,11.0,10.0,11.0,103807
2018-11-08,10.0,10.0,11.0,9.0,11.0,48029
2018-11-09,10.0,10.0,11.0,10.0,10.0,6109
2018-11-12,10.0,10.0,11.0,9.0,11.0,36599
2018-11-13,10.0,10.0,11.0,10.0,11.0,6768
2018-11-14,10.0,10.0,10.0,10.0,10.0,6286
2018-11-15,10.0,10.0,10.0,10.0,10.0,4005
2018-11-16,10.0,10.0,11.0,9.0,9.0,7122
2018-11-19,9.0,9.0,10.0,9.0,10.0,12002
2018-11-20,9.0,9.0,9.0,9.0,9.0,0
2018-11-21,9.0,9.0,10.0,9.0,10.0,55
2018-11-22,9.0,9.0,9.0,9.0,9.0,0
2018-11-23,10.0,10.0,10.0,9.0,10.0,17532
2018-11-26,10.0,10.0,10.0,10.0,10.0,1875
2018-11-27,9.0,9.0,10.0,9.0,10.0,3352
2018-11-28,10.0,10.0,10.0,10.0,10.0,20
2018-11-29,10.0,10.0,10.0,10.0,10.0,139
2018-11-30,10.0,10.0,10.0,10.0,10.0,142
2018-12-03,10.0,10.0,10.0,9.0,10.0,236
2018-12-04,10.0,10.0,10.0,10.0,10.0,4
2018-12-05,9.0,9.0,10.0,9.0,9.0,15481
2018-12-06,9.0,9.0,10.0,9.0,10.0,2701
2018-12-07,9.0,9.0,10.0,9.0,10.0,179992
2018-12-10,9.0,9.0,10.0,9.0,10.0,15142
2018-12-11,9.0,9.0,10.0,9.0,10.0,2701
2018-12-12,9.0,9.0,10.0,9.0,10.0,1928
